"ID",Name,City,State,Country
grid.1001.0,Australian National University,Canberra,Australian Capital Territory,Australia
grid.1002.3,Monash University,Melbourne,Victoria,Australia
grid.1003.2,University of Queensland,Brisbane,Queensland,Australia
grid.1004.5,Macquarie University,Sydney,New South Wales,Australia
grid.1005.4,UNSW Sydney,Sydney,New South Wales,Australia
grid.1006.7,Newcastle University,Newcastle upon Tyne,,United Kingdom
grid.1007.6,University of Wollongong,Wollongong,New South Wales,Australia
grid.1008.9,University of Melbourne,Melbourne,Victoria,Australia
grid.1009.8,University of Tasmania,Hobart,Tasmania,Australia
grid.1010.0,University of Adelaide,Adelaide,South Australia,Australia
grid.1011.1,James Cook University,Townsville,Queensland,Australia
grid.1012.2,University of Western Australia,Perth,Western Australia,Australia
grid.1013.3,University of Sydney,Sydney,New South Wales,Australia
grid.1014.4,Flinders University,Adelaide,South Australia,Australia
grid.1016.6,Commonwealth Scientific and Industrial Research Organisation,Canberra,Australian Capital Territory,Australia
grid.1017.7,RMIT University,Melbourne,Victoria,Australia
grid.1018.8,La Trobe University,Melbourne,Victoria,Australia
grid.1019.9,Victoria University,Melbourne,Victoria,Australia
grid.1020.3,University of New England,Armidale,New South Wales,Australia
grid.1021.2,Deakin University,Geelong,Victoria,Australia
grid.1022.1,Griffith University,Brisbane,Queensland,Australia
grid.1023.0,Central Queensland University,Rockhampton,Queensland,Australia
grid.1024.7,Queensland University of Technology,Brisbane,Queensland,Australia
grid.1025.6,Murdoch University,Perth,Western Australia,Australia
grid.1026.5,University of South Australia,Adelaide,South Australia,Australia
grid.1027.4,Swinburne University of Technology,Melbourne,Victoria,Australia
grid.1029.a,Western Sydney University,Richmond,New South Wales,Australia
grid.1031.3,Southern Cross University,Lismore,New South Wales,Australia
grid.1032.0,Curtin University,Perth,Western Australia,Australia
grid.1033.1,Bond University,Gold Coast,Queensland,Australia
grid.1034.6,University of the Sunshine Coast,Sunshine Coast,Queensland,Australia
grid.1035.7,Warsaw University of Technology,Warsaw,,Poland
grid.1037.5,Charles Sturt University,Bathurst,New South Wales,Australia
grid.1038.a,Edith Cowan University,Perth,Western Australia,Australia
grid.1039.b,University of Canberra,Canberra,Australian Capital Territory,Australia
grid.1040.5,Federation University,Ballarat,Victoria,Australia
grid.1042.7,Walter and Eliza Hall Institute of Medical Research,Melbourne,Victoria,Australia
grid.1043.6,Charles Darwin University,Darwin,Northern Territory,Australia
grid.1046.3,Australian Institute of Marine Science,Townsville,Queensland,Australia
grid.1047.2,Australian Antarctic Division,Hobart,Tasmania,Australia
grid.1048.d,University of Southern Queensland,Toowoomba,Queensland,Australia
grid.1049.c,QIMR Berghofer Medical Research Institute,Brisbane,Queensland,Australia
grid.1051.5,Baker IDI Heart and Diabetes Institute,Melbourne,Victoria,Australia
grid.1052.6,Ludwig Cancer Research,New York,New York,United States
grid.1055.1,Peter MacCallum Cancer Centre,Melbourne,Victoria,Australia
grid.1056.2,Burnet Institute,Melbourne,Victoria,Australia
grid.1057.3,Victor Chang Cardiac Research Institute,Sydney,New South Wales,Australia
grid.1058.c,Murdoch Children's Research Institute,Melbourne,Victoria,Australia
grid.1064.3,Mater Research,Brisbane,Queensland,Australia
grid.1073.5,St Vincents Institute of Medical Research,Fitzroy,Victoria,Australia
grid.1076.0,The Heart Research Institute,Newtown,New South Wales,Australia
grid.1088.1,University Mental Health Research Institute,Athens,,Greece
grid.1089.0,Australian Nuclear Science and Technology Organisation,Sydney,New South Wales,Australia
grid.1108.8,Naval Postgraduate School,Monterey,California,United States
grid.1121.3,Rolls-Royce (United Kingdom),Derby,,United Kingdom
grid.1135.6,CSL (Australia),Melbourne,Victoria,Australia
grid.1214.6,Smithsonian Institution,Washington D.C.,District of Columbia,United States
grid.1236.6,BP (United Kingdom),London,,United Kingdom
grid.1281.a,Rio Tinto (United Kingdom),London,,United Kingdom
grid.1310.3,Department of Water,Perth,Western Australia,Australia
grid.1343.5,BAE Systems (United Kingdom),London,,United Kingdom
grid.1374.1,University of Turku,Turku,,Finland
grid.1403.6,Arup Group (United States),Cambridge,Massachusetts,United States
grid.1453.3,BT Group (United Kingdom),London,,United Kingdom
grid.1463.0,Defence Research and Development Canada,Ottawa,Ontario,Canada
grid.1489.4,Lions Eye Institute,Perth,Western Australia,Australia
grid.1491.d,Mater Health Services,Brisbane,Queensland,Australia
grid.1504.0,Pilkington (United Kingdom),St Helens,,United Kingdom
grid.1527.1,Bureau of Meteorology,Melbourne,Victoria,Australia
grid.1543.3,Trojan Technologies (Canada),London,Ontario,Canada
grid.1623.6,The Alfred Hospital,Melbourne,Victoria,Australia
grid.1649.a,Sahlgrenska University Hospital,Gothenburg,,Sweden
grid.1658.a,Washington State Department of Health,Olympia,Washington,United States
grid.1680.f,New South Wales Department of Primary Industries,Orange,New South Wales,Australia
grid.1694.a,Women's and Children's Hospital,Adelaide,South Australia,Australia
grid.1743.1,Mott Macdonald (United Kingdom),London,,United Kingdom
grid.1957.a,RWTH Aachen University,Aachen,Nordrhein-Westfalen,Germany
grid.2134.4,Nortel (Canada),Mississauga,Ontario,Canada
grid.2294.d,Luther College,Decorah,Iowa,United States
grid.2483.d,Xstrata (United Kingdom),London,,United Kingdom
grid.2515.3,Boston Children's Hospital,Boston,Massachusetts,United States
grid.2678.b,Environment Agency,Rotherham,,United Kingdom
grid.2824.c,Pathwest Laboratory Medicine,Nedlands,Western Australia,Australia
grid.2865.9,United States Geological Survey,Reston,Virginia,United States
grid.2875.8,Teck (Canada),Vancouver,British Columbia,Canada
grid.3006.5,Hunter New England Local Health District,Newcastle,New South Wales,Australia
grid.3263.4,Cancer Council Victoria,Melbourne,Victoria,Australia
grid.3319.8,BASF (Germany),Ludwigshafen am Rhein,,Germany
grid.3393.a,Hypres (United States),Elmsford,New York,United States
grid.3521.5,Sir Charles Gairdner Hospital,Perth,Western Australia,Australia
grid.3532.7,National Oceanic and Atmospheric Administration,Washington D.C.,District of Columbia,United States
grid.3575.4,World Health Organization,Geneva,,Switzerland
grid.3613.7,Boys Town,Omaha,Nebraska,United States
grid.3973.e,Olympus (Australia),Sydney,New South Wales,Australia
grid.4241.3,National Technical University of Athens,Athens,Attiki,Greece
grid.4269.9,UK Coal,Doncaster,,United Kingdom
grid.4278.9,Nuclear Research Institute Rez (Czechia),Husinec,,Czechia
grid.4280.e,National University of Singapore,Singapore,,Singapore
grid.4293.c,National Institute for Astrophysics,Rome,,Italy
grid.4299.6,Austrian Academy of Sciences,Vienna,,Austria
grid.4305.2,University of Edinburgh,Edinburgh,,United Kingdom
grid.4307.0,Paris Observatory,Paris,Île-de-France,France
grid.4319.f,SINTEF,Trondheim,,Norway
grid.4332.6,Austrian Institute of Technology,Vienna,,Austria
grid.4336.2,National Institute of Oceanography and Experimental Geophysics,Trieste,,Italy
grid.4347.4,Engineering (Italy),Rome,,Italy
grid.4365.4,Office National d'Études et de Recherches Aérospatiales,Palaiseau,,France
grid.4367.6,Washington University in St. Louis,St Louis,Missouri,United States
grid.4372.2,Max Planck Society,Munich,,Germany
grid.4391.f,Oregon State University,Corvallis,Oregon,United States
grid.4399.7,Institut de Recherche pour le Développement,Marseille,,France
grid.4422.0,Ocean University of China,Qingdao,,China
grid.4425.7,Liverpool John Moores University,Liverpool,,United Kingdom
grid.4437.4,World Health Organization Regional Office for the Americas,Washington D.C.,District of Columbia,United States
grid.4444.0,French National Centre for Scientific Research,Paris,,France
grid.4462.4,University of Malta,Imsida,,Malta
grid.4463.5,University of Piraeus,Piraeus,Attiki,Greece
grid.4464.2,University of London,London,,United Kingdom
grid.4466.0,Polytechnic University of Bari,Bari,,Italy
grid.4488.0,TU Dresden,Dresden,,Germany
grid.4489.1,University of Granada,Granada,,Spain
grid.4491.8,Charles University,Prague,,Czechia
grid.4494.d,University Medical Center Groningen,Groningen,Groningen,Netherlands
grid.4495.c,Wrocław Medical University,Wrocław,,Poland
grid.4514.4,Lund University,Lund,,Sweden
grid.4521.2,University of Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,,Spain
grid.4527.4,Mario Negri Institute for Pharmacological Research,Milan,,Italy
